Headline,Publication,Summary,Date
"Wine Shorts, Tesla, and Pair Trades: Hedge Fund Managers' Sohn Pitches","Institutional Investor (America's Edition), 858 words",,5/1/2019
"4 - Tesla, Inc. (0001318605) (Issuer)","Federal NewsFeed U.S. Securities and Exchange Commission, 71 words",,5/7/2019
"4 - Tesla, Inc. (0001318605) (Issuer)","U.S. Securities and Exchange Commission, 71 words",,5/7/2019
"424B5 - Tesla, Inc. (0001318605) (Filer)","U.S. Securities and Exchange Commission, 137 words",,5/3/2019
"424B5 - Tesla, Inc. (0001318605) (Filer)","Federal NewsFeed U.S. Securities and Exchange Commission, 137 words",,5/3/2019
Amazon side hustle: Man buys Tesla with money he made with Alexa's help,"CNN Wire, 899 words",,5/6/2019
"Ferrari, Lamborghini, Tesla and McLaren among vehicles coming to Stockton Supercar Saturday;Held in Stockton town centre this weekend, the event will showcase a vast display of high-power performance vehicles","gazettelive.co.uk, WHAT'S ON; Version:3, 401 words",,5/2/2019
Friday Papers: Tesla to raise $2bn to bolster balance sheet,"Citywire, 664 words",,5/3/2019
"Jay A. Dubow Quoted in Wired Article, 'Tesla CEO Elon Musk Will Get a Stricter Twitter Babysitter'","Plus Company Updates(PCU), 107 words",,5/2/2019
JUDGE CLEARS DEAL ON TESLA OVERSIGHT OF TWEETS BY MUSK,"Wall Street Journal Abstracts, B; Pg. 4, 37 words",,5/1/2019
Letter: I dare Tesla and all autonomous vehicles to try to drive this route,"The East Bay Times (California), 218 words",,5/5/2019
Letter: I dare Tesla and all autonomous vehicles to try to drive this route,"The Mercury News (California), 218 words",,5/5/2019
TeslaCoilCoin (TESLA) Achieves Market Capitalization of $0.00,"American Banking and Market News, 416 words",,5/5/2019
TeslaCoilCoin (TESLA) Achieves Market Capitalization of $0.00,"American Banking and Market News, 365 words",,5/4/2019
TeslaCoilCoin (TESLA) Tops 1-Day Volume of $370.00,"American Banking and Market News, 363 words",,5/2/2019
TeslaCoilCoin (TESLA) Tops 1-Day Volume of $370.00,"American Banking and Market News, 416 words",,5/3/2019
TeslaCoilCoin (TESLA) Trading Down 39.9% Over Last 7 Days,"American Banking and Market News, 367 words",,5/1/2019
-Tesla Motors launches new Model 3 in Canada,"Auto Business News, 103 words",,5/2/2019
-Tesla Motors launches new Model 3 in Canada,"FinancialWire, 110 words",,5/2/2019
"4 - Tesla, Inc. (0001318605) (Issuer)","Federal NewsFeed U.S. Securities and Exchange Commission, 67 words",,5/2/2019
"4 - Tesla, Inc. (0001318605) (Issuer)","Federal NewsFeed U.S. Securities and Exchange Commission, 67 words",,5/2/2019
"4 - Tesla, Inc. (0001318605) (Issuer)","U.S. Securities and Exchange Commission, 67 words",,5/2/2019
"4 - Tesla, Inc. (0001318605) (Issuer)","U.S. Securities and Exchange Commission, 67 words",,5/2/2019
Elon Musk sets bold goals. But has he delivered?,"CNN Wire, 1468 words",,5/2/2019
Investor Ideas Climate Change and CleanTech Podcast - Looking at Gas Prices and Electric Vehicles,"InvestorIdeas.com, 1762 words",,5/1/2019
Top 8 Most Popular Electric Cars for 2019,"NullTX, 820 words",,5/4/2019
"Why automakers bet on EVs;Red ink keeps flowing for electric vehicles, but that's not sapping enthusiasm","The Detroit News (Michigan), NEWS; Pg. A3, 1187 words",,5/4/2019
"Why automakers bet on EVs;Red ink keeps flowing for electric vehicles, but that's not sapping enthusiasm","The Detroit News (Michigan), NEWS; Pg. A1, 1187 words",,5/4/2019
Q1 2019 Taubman Centers Inc Earnings Call - Final,"FD (Fair Disclosure) Wire, 10868 words",,5/1/2019
U.S. Attorney General Barr Refuses to Testify at House Hearing; Tropical Cyclone Fani Picks Up Speed Ahead of Landfall; Maduro Shows Off Military Loyalty in New Video. Aired 3-4p ET,"CNN INTERNATIONAL, QUEST MEANS BUSINESS 3:00 PM EST, NEWS; International, 7961 words",,5/2/2019
What if electric-car drivers' fees triple?,"Chicago Daily Herald, NEWS; Pg. 0, 746 words",,5/6/2019
What's Bad for Elon Musk is Good for Short Sellers,"Institutional Investor (America's Edition), 653 words",,5/1/2019
David Olive: Time to say goodbye to NAFTA's replacement?,"thestar.com, STAR BUSINESS JOURNAL; Pg. 0, 857 words",,5/5/2019
Has Trump lost interest in NAFTA's replacement?;Odds seem slim that USMCA will be ratified,"The Toronto Star, BUSINESS; Pg. B1, 844 words",,5/6/2019
Investor Ideas Climate Change and CleanTech Podcast - Looking at Gas Prices and Electric Vehicles: (NASDAQ: SOLO) (NYSE: GM) (NASDAQ: TSLA),"Global English (Middle East and North Africa Financial Network), 1466 words",,5/1/2019
SEC and Elon Musk tweet agreement gets a judge's seal of approval,"Engadget HD, 515 words",,5/1/2019
SEC commissioner decries agencys deal with Elon Musk,"The Mercury News (California), 385 words",,5/1/2019
SEC commissioner decries agencys deal with Elon Musk,"The East Bay Times (California), 385 words",,5/1/2019
Warren Buffett Mocks Musk's 'Insurance' Pivot,"Phil's Stock World, 582 words",,5/6/2019
Briefing.com: Hourly In Play (R) - 17:00 ET,"Briefing.com, 37564 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 17:00 ET,"Briefing.com, 37564 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 18:00 ET,"Briefing.com, 65408 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 18:00 ET,"Briefing.com, 65408 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 21:00 ET,"Briefing.com, 48565 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 21:00 ET,"Briefing.com, 48565 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 23:00 ET,"Briefing.com, 65755 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 23:00 ET,"Briefing.com, 65755 words",,5/2/2019
Explained: Where are driverless cars going?,"Indian Express, 1085 words",,5/7/2019
"Herbert Diess with theses on 21 topics that move everyone;The future of the car and Europe, trust in the USA and morale in China business - as guest editor-in-chief of WELT, the VW CEO answered questions","Die Welt (English), SPORTS; SPORTS; S. 26; Ausg. 105, 869 words",,5/7/2019
2:00PM Water Cooler 5/2/2019,"Naked Capitalism, 7598 words",,5/2/2019
Are motor shows dead or alive? Car manufacturers don't seem to know',"Auto Express, 717 words",,5/6/2019
Briefing.com: Hourly In Play (R) - 13:00 ET,"Briefing.com, 44720 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 14:00 ET,"Briefing.com, 45184 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 14:00 ET,"Briefing.com, 45184 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 15:00 ET,"Briefing.com, 46648 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 15:00 ET,"Briefing.com, 46648 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 16:00 ET,"Briefing.com, 49132 words",,5/2/2019
Q1 2019 Greenlight Capital Re Ltd Earnings Call - Final,"FD (Fair Disclosure) Wire, 3781 words",,5/7/2019
Republican States Have The Loneliest ( Dirties) Commutes — Infographic,"CleanTechnica, 1153 words",,5/2/2019
"The history behind 'slabs,' the custom cars with an important place in Houston's hip-hop community","The Business Insider, 792 words",,5/7/2019
2:00PM Water Cooler 5/7/2019,"Naked Capitalism, 6104 words",,5/7/2019
8 Things Learned at the Berkshire Hathaway Annual Meeting,"USNEWS.com, INVESTING; Stock Market News; Vol.; No., 982 words",,5/6/2019
Are motor shows dead or alive? Car manufacturers don't seem to know',"Auto Express, 542 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 10:00 ET,"Briefing.com, 40964 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 10:00 ET,"Briefing.com, 40964 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 11:00 ET,"Briefing.com, 41613 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 11:00 ET,"Briefing.com, 41613 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 12:00 ET,"Briefing.com, 42875 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 12:00 ET,"Briefing.com, 42875 words",,5/2/2019
ELECTRIC VEHICLES: N.C. Democrat wants to fine drivers who block chargers,"ClimateWire, states; Vol. 10; No. 9, 743 words",,5/6/2019
Fiat Chrysler sees massive drop in profits in Q1 2019,"Digital Journal, 365 words",,5/4/2019
Greenlight Capital Delivers Again in April,"Institutional Investor (America's Edition), 518 words",,5/1/2019
Hands on with Polestar's Android Automotive OS infotainment system,"Autoblog, 1300 words",,5/3/2019
Hands on with Polestar's Android Automotive OS infotainment system,"AutoblogGreen, 1302 words",,5/3/2019
Hydrogen cars vs EVs: There's NO comparison (Hydrogen fail),"Red, Green, and Blue, 1481 words",,5/3/2019
Is Income Investing for You?,"USNEWS.com, INVESTING; Dividends; Vol.; No., 925 words",,5/7/2019
Stock Market Update,"Briefing.com, 5032 words",,5/2/2019
The Morning After: Epic bought the maker of 'Rocket League',"Engadget HD, 1062 words",,5/2/2019
The Russell Breaks Out and There May Be More Gains To Come,"Mott Capital Market Commentary, 746 words",,5/4/2019
What if electric-car drivers' fees triple? Transit: Electric-car owners not eager to pay more than others,"Chicago Daily Herald, NEWS; Pg. 1, 746 words",,5/6/2019
Your Daily Dose of Financial News,"JD Supra, 933 words",,5/4/2019
10 things in tech you need to know today,"The Business Insider, 986 words",,5/2/2019
Arbitration ruling finds Jefferies aided side trades that crashed hedge fund;Financials,"Financial Times (London, England), COMPANIES AND MARKETS;NEWS; Pg. 17, 605 words",,5/7/2019
Arbitrator says Jefferies aided trades that crashed fund," FT.com, 618 words",,5/6/2019
Are We Really Facing A Battery Metal Shortage?,"Yerepouni Daily News, 706 words",,5/6/2019
A Texas congressman drove for Uber during a legislative recess. Here's what he learned. (UBER),"The Business Insider, 1131 words",,5/4/2019
Briefing.com: Hourly In Play (R) - 08:00 ET,"Briefing.com, 32714 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 08:00 ET,"Briefing.com, 32714 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 09:00 ET,"Briefing.com, 39589 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 09:00 ET,"Briefing.com, 39589 words",,5/2/2019
Briefing.com: Stock Market Update - 14:30 ET,"Briefing.com, 3881 words",,5/2/2019
Briefing.com: Stock Market Update - 14:30 ET,"Briefing.com, 3881 words",,5/2/2019
Business news in brief,"Telegraph Herald (Dubuque, IA), B; Pg. 5, 792 words",,5/4/2019
Canada/World briefs,"The Times & Transcript (New Brunswick); Pg. B12, 458 words",,5/3/2019
Corrections,"The New York Times, Section A; Column 0Metropolitan Desk; Pg. 22, 477 words",,5/2/2019
"Corrections: May 2, 2019","The New York Times , PAGEONEPLUS, 472 words",,5/1/2019
Digest,"The New York Times, Section B; Column 0Business/Financial Desk; Pg. 2, 524 words",,5/4/2019
Disney to sell Fox's regional sports networks,"Spokesman Review (Spokane, WA), A; Pg. 008, 558 words",,5/4/2019
"Electric vehicles just got cheaper, as rebate kicks in","Prince George Citizen (British Columbia), NEWS; Pg. A13, 406 words",,5/2/2019
Elon Musk Settlement Slammed By SEC Commissioner,"silicon.co.uk, 485 words",,5/1/2019
How Nissan's ProPilot marketing stays in lane;The challenge: Selling the technology without overselling it,"Automotive News; Pg. 24; Vol. 93, 996 words",,5/6/2019
In brief,"Waterloo Region Record, BUSINESS; Pg. C8, 543 words",,5/2/2019
Jobless Claims Steady at 230K Ahead of Friday's BLS Report,"Zacks Investment Research, 749 words",,5/2/2019
Market movers: Stocks that saw action on Friday - and why;A roundup of some of the North American equities making moves in both directions today,"Breaking News from globeandmail.com, BUSINESS, 2211 words",,5/3/2019
No Headline In Original,"Pittsburgh Post-Gazette, BUSINESS; BUSINESS BRIEFS; Pg. C-9, 347 words",,5/3/2019
"Regulatory update: California Public Utilities Commission;Liberty Utilities , has submitted (A1711014) Motion filed by Liberty Utilities (CalPeco Electric) on 02/12/2019 Conf# 130916","US Official News, 1083 words",,5/4/2019
"Regulatory update: California Public Utilities Commission;Liberty Utilities , has submitted (A1711014) Motion filed by Liberty Utilities (CalPeco Electric) on 02/12/2019 Conf# 130916","US Official News, 1083 words",,5/4/2019
"Regulatory update: Minnesota Public Utilities Commission; XCEL LARGE INDUSTRIALS , has issued ( 19-186 ) COMMENTS--COVER LETTER, CERTIFICATE OF SERVICE AND SERVICE LIST_PART 1 OF 2","US Official News, 531 words",,5/7/2019
"Self-Driving Cars and Light Trucks Commercial Market Insights, Latest Trends, Advanced Technologies Forecast to 2023","ReleaseWire, 1488 words",,5/2/2019
Stock Market Update,"Briefing.com, 5041 words",,5/3/2019
The Car You're Buying Says a Lot About Your Credit Score,"24/7 Wall St., 505 words",,5/3/2019
What every Canadian investor needs to know today;A rundown of the morning s market action,"Breaking News from globeandmail.com, BUSINESS, 1908 words",,5/3/2019
10 things in tech you need to know today,"The Business Insider, 1007 words",,5/6/2019
ALL ABOARD,"Wired, THE FUTURE OF TRANSPORTATION; Pg. 86; Vol. 27; No. 5; ISSN: 1059-1028, 703 words",,5/1/2019
Amazon's robots leave broker cold as Peel Hunt plugs Ocado,"The Evening Standard (London), BUSINESS; Pg. 44, 451 words",,5/3/2019
Andrea Orcel has Lunch with the FT," FT.com, 1637 words",,5/7/2019
"Auto Stock Roundup: F, GM, PAG, PCAR GT Q1 Earnings Beat","Zacks Investment Research, 2091 words",,5/2/2019
Battery Management Systems Market 19.62% CAGR Seeking Excellent Consumption Growth,"ReleaseWire, 1424 words",,5/1/2019
BBC Radio 5 Live - 01:05 AM GMT,"TVEyes - BBC Radio 5 Live, U.K. NATIONAL RADIO, 805 words",,5/2/2019
Briefing.com: Hourly In Play (R) - 08:00 ET,"Briefing.com, 22284 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 08:00 ET,"Briefing.com, 22284 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 09:00 ET,"Briefing.com, 24946 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 09:00 ET,"Briefing.com, 24946 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 10:00 ET,"Briefing.com, 25748 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 10:00 ET,"Briefing.com, 25748 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 11:00 ET,"Briefing.com, 26491 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 11:00 ET,"Briefing.com, 26491 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 12:00 ET,"Briefing.com, 27245 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 12:00 ET,"Briefing.com, 27245 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 13:00 ET,"Briefing.com, 28163 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 13:00 ET,"Briefing.com, 28163 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 14:00 ET,"Briefing.com, 28599 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 14:00 ET,"Briefing.com, 28599 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 16:00 ET,"Briefing.com, 31209 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 16:00 ET,"Briefing.com, 31209 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 17:00 ET,"Briefing.com, 32652 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 17:00 ET,"Briefing.com, 32652 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 18:00 ET,"Briefing.com, 32912 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 18:00 ET,"Briefing.com, 32912 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 19:00 ET,"Briefing.com, 32912 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 20:00 ET,"Briefing.com, 32912 words",,5/3/2019
Briefing.com: Hourly In Play (R) - 21:00 ET,"Briefing.com, 32912 words",,5/3/2019
